,FPR,TPR,model
159,0.2462293849734848,0.7561011632923544,nf_100
160,0.2589716923562564,0.7663202960118467,nf_100
161,0.26127434012772,0.7678127927178598,nf_100
162,0.27440263597303083,0.7758339908351374,nf_100
163,0.28780284271907774,0.7836064395014128,nf_100
164,0.30189532836757355,0.7916412411042921,nf_100
165,0.3158643602163098,0.7997498902004376,nf_100
166,0.3300834250772172,0.8073085698072581,nf_100
167,0.344154032837148,0.8153181077940199,nf_100
168,0.3558063525574861,0.8210325434242693,nf_100
169,0.3705254834427358,0.8290799768352074,nf_100
170,0.38524383297482245,0.8360264995899521,nf_100
171,0.3993886692852416,0.8428641944598834,nf_100
172,0.41381401138119017,0.8496484470649508,nf_100
173,0.4282041925848022,0.856443388122991,nf_100
174,0.44320929872772263,0.862778725703203,nf_100
175,0.4579088957838965,0.8690509042431215,nf_100
176,0.4722076586674334,0.8753765250479038,nf_100
177,0.4866431583545015,0.8814028691694489,nf_100
178,0.4871979191002562,0.8816146948738179,nf_100
179,0.5011927356033726,0.8874923723312876,nf_100
180,0.5156907435434834,0.8931961195085644,nf_100
181,0.5300770179812804,0.8986792958835853,nf_100
182,0.5441937255778302,0.9038962326118304,nf_100
183,0.5588526922695262,0.9090840190137862,nf_100
184,0.573506970842244,0.914183382759331,nf_100
185,0.5878369878523024,0.9191816920404062,nf_100
186,0.597010855339494,0.9221200449303696,nf_100
187,0.611510425985931,0.9267559184879143,nf_100
188,0.6263233192507448,0.9315278269014757,nf_100
189,0.640872896499616,0.9360024019868862,nf_100
190,0.6552427625209891,0.9402029640051771,nf_100
191,0.6695032390995374,0.9443986676357531,nf_100
192,0.6839301439018121,0.9485331555811215,nf_100
193,0.6978569826797444,0.9522673123787833,nf_100
194,0.7122104402846938,0.9560549114413087,nf_100
195,0.7264927947518071,0.9594013688993226,nf_100
196,0.7406032515230526,0.9628109853976299,nf_100
197,0.7547129269411352,0.9661331509170693,nf_100
198,0.7687452483960773,0.9693911857186721,nf_100
199,0.7829197761266917,0.9724529416565936,nf_100
200,0.79709274115098,0.9753708893181544,nf_100
201,0.806586182081853,0.9772889807879916,nf_100
202,0.8208857263185529,0.9796841659314307,nf_100
203,0.8350422829264176,0.9820832377850416,nf_100
204,0.8492519715493686,0.9845998826213528,nf_100
205,0.863560110670862,0.986731743150645,nf_100
206,0.8778854395619422,0.9888461134841636,nf_100
207,0.8922123311593484,0.9908788629040721,nf_100
208,0.8968895111932748,0.9914181439404245,nf_100
209,0.9113461074157447,0.993320688569574,nf_100
210,0.9258144239356603,0.9948365055366186,nf_100
211,0.9403702520098357,0.9962046275171307,nf_100
212,0.9551159489026285,0.9973823006992192,nf_100
213,0.9699780674167137,0.9983617516625403,nf_100
214,0.9849323856040367,0.9990409542650814,nf_100
215,0.9999023308546207,0.999868823531698,nf_100
216,1.0,1.0,nf_100
217,1.0,1.0,nf_100
218,0.0,0.0,nf_500
219,0.00015154355705536808,0.023954305065919973,nf_500
220,0.0003374578177727784,0.04670856469322625,nf_500
221,0.000565554305711786,0.06838705543219598,nf_500
222,0.0008045869266341707,0.08989757864618175,nf_500
223,0.0010225284339457567,0.11141489823401081,nf_500
224,0.0012849956255468066,0.13294095601678121,nf_500
225,0.0014451318585176852,0.14695216614998044,nf_500
226,0.0017200974878140232,0.16846657300616236,nf_500
227,0.002039588801399825,0.1902926421485862,nf_500
228,0.002376265466816648,0.2121080312749706,nf_500
229,0.0027871516060492436,0.23373312193374313,nf_500
230,0.0032339707536557932,0.25556792927110833,nf_500
231,0.0037706224221972255,0.27719787448262606,nf_500
232,0.004415854268216473,0.298929765301793,nf_500
233,0.0046619172603424575,0.3065785986071317,nf_500
234,0.005398543932008499,0.3283143730684948,nf_500
235,0.006254686914135733,0.34975693254404777,nf_500
236,0.00723190851143607,0.3710723027376765,nf_500
237,0.008359111361079865,0.3922546581860867,nf_500
238,0.00973472065991751,0.41313797318539247,nf_500
239,0.0112798400199975,0.433677585850338,nf_500
240,0.01300228096487939,0.4539181580661792,nf_500
241,0.01429196350456193,0.46684583202664953,nf_500
242,0.016456536682914635,0.48668541818573713,nf_500
243,0.018849987501562304,0.5057249740524156,nf_500
244,0.021601206099237595,0.5573968334723354,nf_500
245,0.024736751656042996,0.5753751841089129,nf_500
246,0.02826443569553806,0.5928671085604212,nf_500
247,0.03214285714285714,0.6098298867627027,nf_500
248,0.033546587926509185,0.6155271898644706,nf_500
249,0.03807024121984752,0.6316530431734794,nf_500
250,0.043150074990626175,0.6473167430611451,nf_500
251,0.048750937382827146,0.6623571183763268,nf_500
252,0.054895481814773155,0.6765236741973725,nf_500
253,0.06161886014248219,0.6900766145514248,nf_500
254,0.06888592050993626,0.7028450591818525,nf_500
255,0.07673572053493313,0.7150668811731706,nf_500
256,0.07884326959130109,0.7182543805056696,nf_500
257,0.08722034745656793,0.7302402712335709,nf_500
258,0.0961411073615798,0.7413863243365526,nf_500
259,0.10555555555555556,0.7522595515752538,nf_500
260,0.11545900512435946,0.7624230432026067,nf_500
261,0.1258373953255843,0.7721806942204608,nf_500
262,0.13649621922259716,0.7819373743277658,nf_500
263,0.14738704536932884,0.7914969595936157,nf_500
264,0.15856455443069617,0.7998497030470085,nf_500
265,0.1700162479690039,0.8110355634825008,nf_500
266,0.18205458692663418,0.8196300636626047,nf_500
267,0.19440382452193475,0.8276012392702248,nf_500
268,0.2070772403449569,0.8352180325274452,nf_500
269,0.220013904511936,0.8429057022547456,nf_500
270,0.2329302587176603,0.8500758766594075,nf_500
271,0.23721800399950005,0.852503153032008,nf_500
272,0.25053118360204973,0.8593509851343886,nf_500
273,0.26435992375953005,0.8662376536587307,nf_500
274,0.27812226596675416,0.8730146092910314,nf_500
275,0.29179711911011125,0.8794614553366584,nf_500
276,0.30613673290838644,0.8856209118597694,nf_500
277,0.32053258967629045,0.891503658876404,nf_500
278,0.3350620234970629,0.8973067912280174,nf_500
279,0.349560992375953,0.9025807773304038,nf_500
280,0.3619516310461192,0.9072489152501891,nf_500
281,0.3762537495313086,0.9123559047381405,nf_500
282,0.39061836020497437,0.9171628828664387,nf_500
283,0.4050634295713036,0.921930053662226,nf_500
284,0.4199826584176978,0.9261807000459241,nf_500
285,0.43466754155730536,0.9305332920372713,nf_500
286,0.4494438195225597,0.9343907196486081,nf_500
287,0.4543072740907387,0.9359218455844445,nf_500
288,0.4693171166104237,0.9400200590119432,nf_500
289,0.4842136920384952,0.9436221371488823,nf_500
290,0.4992383764529434,0.947405775558492,nf_500
291,0.5140552743407074,0.9509855227528032,nf_500
292,0.5291502624671915,0.9545264335251529,nf_500
293,0.5441296400449944,0.9579721950636966,nf_500
294,0.555231377327834,0.9601936383999006,nf_500
295,0.5707981814773153,0.9633626904319678,nf_500
296,0.5860634608173978,0.9663239676065405,nf_500
297,0.6012045369328833,0.9690735862814223,nf_500
298,0.6165916760404949,0.9715154263122584,nf_500
299,0.6317882139732534,0.9737689096965807,nf_500
300,0.6470784901887264,0.9761136586725129,nf_500
301,0.6538323334583177,0.977131172927907,nf_500
302,0.6691030808648919,0.9791137722690471,nf_500
303,0.6844003874515685,0.9810332624244996,nf_500
304,0.6998648606424197,0.9830886800568177,nf_500
305,0.7156199225096863,0.9849139918890133,nf_500
306,0.7312593738282714,0.9866121144392846,nf_500
307,0.7467465004374453,0.9882568369093587,nf_500
308,0.7623875140607425,0.9895821298087986,nf_500
309,0.7778551118610174,0.9909355791141606,nf_500
310,0.7844339770028746,0.9915084163380944,nf_500
311,0.7999804711911012,0.9926793344602368,nf_500
312,0.8156394513185852,0.9937570451696714,nf_500
313,0.8313585801774778,0.9947376648242021,nf_500
314,0.8470456817897762,0.9956008043022988,nf_500
315,0.8627023184601925,0.9962775289549799,nf_500
316,0.87847456567929,0.9969911482085244,nf_500
317,0.8899325084364454,0.9974785453041426,nf_500
318,0.9057149106361705,0.9979562332942704,nf_500
319,0.9214809086364204,0.9983882884885933,nf_500
320,0.9372726846644169,0.9988533546415835,nf_500
321,0.9531152355955506,0.9991912315126495,nf_500
322,0.9689898137732783,0.9994611446452827,nf_500
323,0.9848979815023122,0.9996271703491686,nf_500
324,1.0,1.0,nf_500
325,1.0,1.0,nf_500
326,0.0,0.0,nf_1000
327,8.681404197576246e-05,0.02449362322361229,nf_1000
328,0.00017832073486913368,0.04720515000607312,nf_1000
329,0.0003104970690484477,0.06916846835904288,nf_1000
330,0.0004520587050629793,0.09089080529576096,nf_1000
331,0.0005904919071324383,0.11266367059395117,nf_1000
332,0.0007617736656251588,0.13430341309364752,nf_1000
333,0.0009596471126509958,0.15626381634884004,nf_1000
334,0.0010660138667834616,0.16686214016761813,nf_1000
335,0.0012810937005071972,0.18871274140653468,nf_1000
336,0.001530586307626731,0.21058180493137374,nf_1000
337,0.0018027600608480402,0.2326675573909875,nf_1000
338,0.002082754898932031,0.25471152678246084,nf_1000
339,0.0024307931753213487,0.27676424146726586,nf_1000
340,0.0028249758524004865,0.29881792785133,nf_1000
341,0.0030948032801629915,0.310750394752824,nf_1000
342,0.00358909584348445,0.3326660998420989,nf_1000
343,0.00417020244878167,0.35463913518765944,nf_1000
344,0.004849854723348676,0.3765247175999028,nf_1000
345,0.005626488450212929,0.398199441272926,nf_1000
346,0.0065681470676797575,0.41969051378598327,nf_1000
347,0.007642764127812169,0.47406971942183895,nf_1000
348,0.008869892342766866,0.4951575367423782,nf_1000
349,0.008923857828319367,0.49603595287258595,nf_1000
350,0.01038249015520943,0.5167350904894935,nf_1000
351,0.012056984424309495,0.5370076521316652,nf_1000
352,0.013930134248921668,0.5570975343131301,nf_1000
353,0.016094228430425583,0.5767336329406049,nf_1000
354,0.018573512331895557,0.5961987124984818,nf_1000
355,0.02138753866548829,0.614811611806146,nf_1000
356,0.024572284421572117,0.6331349447346046,nf_1000
357,0.026125551875300624,0.640893963318353,nf_1000
358,0.03004313328301769,0.6584564557269525,nf_1000
359,0.03452539701782034,0.6752610227134702,nf_1000
360,0.03963256543315123,0.6915068626260172,nf_1000
361,0.045277824487034594,0.7069073241831653,nf_1000
362,0.051645751782229715,0.7213273411879023,nf_1000
363,0.05869958821988198,0.7352916312401312,nf_1000
364,0.06035765821077042,0.7382251913032917,nf_1000
365,0.06809114692298969,0.7515238673630511,nf_1000
366,0.07650976266917985,0.7636652496052472,nf_1000
367,0.0853898224222682,0.7753858860682619,nf_1000
368,0.09482205076666185,0.7867052107372768,nf_1000
369,0.10491750710741087,0.7970266002672173,nf_1000
370,0.11530156147959283,0.8093895299404834,nf_1000
371,0.1261517525095906,0.8198761083444673,nf_1000
372,0.12840266073307027,0.8216931859589457,nf_1000
373,0.13973697691606804,0.8309758289809304,nf_1000
374,0.15140759974816106,0.8395889712134095,nf_1000
375,0.16363351960550448,0.8480563585570265,nf_1000
376,0.17582033403853448,0.8559446131422325,nf_1000
377,0.18843965446447078,0.863730839305235,nf_1000
378,0.20143438696381574,0.8712372160816227,nf_1000
379,0.2146410708629394,0.8781518280092312,nf_1000
380,0.22803858923271247,0.8849070812583505,nf_1000
381,0.23065552422776564,0.8861926393781124,nf_1000
382,0.24462554600948697,0.8929906473946314,nf_1000
383,0.2587777990685088,0.8990229563949957,nf_1000
384,0.27293396266996195,0.9051806145997814,nf_1000
385,0.28700800488035694,0.9107562249483785,nf_1000
386,0.30146058759810573,0.9160043726466659,nf_1000
387,0.3157145147603424,0.9214507469938055,nf_1000
388,0.3272928487910558,0.9255202234908296,nf_1000
389,0.3416343721037545,0.9300279363536985,nf_1000
390,0.3562167848302238,0.9341557148062675,nf_1000
391,0.3712238824647367,0.9387479655046763,nf_1000
392,0.38608237948685864,0.9425560549010081,nf_1000
393,0.4011528279087592,0.9462844649580955,nf_1000
394,0.4161184737934999,0.9500400825944371,nf_1000
395,0.4195143888408761,0.9509593100935261,nf_1000
396,0.4347741075164536,0.9543116725373497,nf_1000
397,0.44986567286748347,0.9573637799101178,nf_1000
398,0.4649423781572742,0.9605004251184258,nf_1000
399,0.4802091358092281,0.9632658812097655,nf_1000
400,0.49538125833434354,0.965757318110045,nf_1000
401,0.5106589655051053,0.9683012267703146,nf_1000
402,0.5249793718886747,0.9707022956394996,nf_1000
403,0.5407028808966091,0.9728701566865056,nf_1000
404,0.5564334288809201,0.9751886311186688,nf_1000
405,0.5719356011872406,0.9772311429612535,nf_1000
406,0.5874612367481493,0.9792347868334751,nf_1000
407,0.6033419495618237,0.9810246568686991,nf_1000
408,0.6189489244053042,0.9827912061217053,nf_1000
409,0.6346677407623211,0.9843964532977043,nf_1000
410,0.6460270844168795,0.9854021620308514,nf_1000
411,0.6620039965743648,0.9869218996720515,nf_1000
412,0.6778620282419374,0.9881792785133001,nf_1000
413,0.6938084381684584,0.9893647516093769,nf_1000
414,0.7096656877275447,0.9905473096076765,nf_1000
415,0.7255479647581916,0.991668650552654,nf_1000
416,0.7413371708789727,0.9926772743835783,nf_1000
417,0.7572171015841608,0.9936275962589578,nf_1000
418,0.7661659868840407,0.994094983602575,nf_1000
419,0.7821022294002401,0.9949782582290781,nf_1000
420,0.798016572878824,0.9956982873800558,nf_1000
421,0.8139332626828667,0.996360986274748,nf_1000
422,0.8298288355577802,0.9968448925057695,nf_1000
423,0.8457650780739796,0.9973890440908538,nf_1000
424,0.8617404260144925,0.9978136766670715,nf_1000
425,0.8776375631063785,0.9982577432284708,nf_1000
426,0.8936301174335892,0.9986444795335844,nf_1000
427,0.8999206159886438,0.9987095833839427,nf_1000
428,0.9158959639291566,0.9990176120490708,nf_1000
429,0.931876004520587,0.9992236122919956,nf_1000
430,0.9478881115599544,0.9994247540386251,nf_1000
431,0.9639338492642314,0.999607433499332,nf_1000
432,0.9799709837751595,0.9997250091096805,nf_1000
433,0.996073815398934,0.9998270375318838,nf_1000
434,1.0,1.0,nf_1000
435,1.0,1.0,nf_1000
436,0.0,0.0,nf_2000
437,2.4229388215763482e-05,0.023817507967842867,nf_2000
438,4.2987624253773924e-05,0.047070292946405745,nf_2000
439,7.034338514253915e-05,0.0694288521932344,nf_2000
440,0.0001117678230598122,0.09151428379808772,nf_2000
441,0.00014615792246283133,0.11344516986886957,nf_2000
442,0.00019383510572610786,0.13538383181557956,nf_2000
443,0.00025558096601789224,0.15739344863013366,nf_2000
444,0.0003016949629446679,0.17341758494901455,nf_2000
445,0.0003681303822459549,0.195637150413628,nf_2000
446,0.00044628969907099835,0.21798890576901955,nf_2000
447,0.0005252306090642923,0.24022013504752518,nf_2000
448,0.0006323088731146019,0.2626331254258507,nf_2000
449,0.0007472030688474158,0.28526772826812774,nf_2000
450,0.000907429668338755,0.30772251397956696,nf_2000
451,0.001076253792680849,0.330419323829269,nf_2000
452,0.001189584802077162,0.34312899303378713,nf_2000
453,0.0014021781438412803,0.36581025113163296,nf_2000
454,0.0016483799918401672,0.3882387932618147,nf_2000
455,0.0019672700044863446,0.4106731672989426,nf_2000
456,0.0023299292345545465,0.4330978214911603,nf_2000
457,0.0027590238839240353,0.455333910692121,nf_2000
458,0.003249082800417058,0.47769441390793166,nf_2000
459,0.0037102227696848146,0.5287138798413332,nf_2000
460,0.004442575568335472,0.5504941083160078,nf_2000
461,0.005363292320534485,0.5720711920320599,nf_2000
462,0.006423914249850325,0.5933557084163165,nf_2000
463,0.007776852024091827,0.6143097500736279,nf_2000
464,0.00945102459048426,0.6349605325697423,nf_2000
465,0.011515993741001908,0.6551904457812471,nf_2000
466,0.013174534444029332,0.6685338488739073,nf_2000
467,0.016032039067152924,0.6879434071749951,nf_2000
468,0.019560932221803634,0.7066754922858451,nf_2000
469,0.02387532651054604,0.7246290178193917,nf_2000
470,0.028997106542091138,0.7438422352532943,nf_2000
471,0.03493096187544844,0.7593405279625358,nf_2000
472,0.0416917427808147,0.7742391062408208,nf_2000
473,0.04686041840245483,0.7839570071819935,nf_2000
474,0.05485299014098378,0.7971439207716001,nf_2000
475,0.06351695041103984,0.809835122270789,nf_2000
476,0.07289763161638156,0.8217351283942913,nf_2000
477,0.08292078240602514,0.8332103772952199,nf_2000
478,0.09360359782967209,0.8433617833193854,nf_2000
479,0.10457325794606695,0.8530476087723544,nf_2000
480,0.10796771707577858,0.8556437793478567,nf_2000
481,0.11975101568032215,0.8647512740286716,nf_2000
482,0.1318907207695879,0.8730413297525424,nf_2000
483,0.14440949854545512,0.8817872462026995,nf_2000
484,0.15726983253584778,0.8898994287647146,nf_2000
485,0.1703544837655283,0.8968568937514033,nf_2000
486,0.1839143436415051,0.903937800768451,nf_2000
487,0.19752578866658643,0.9101060143484351,nf_2000
488,0.21158821294974825,0.9158378068919533,nf_2000
489,0.2256756482142941,0.9216318064428964,nf_2000
490,0.24002882515604507,0.9269942448798287,nf_2000
491,0.2543530831505708,0.9316724062350861,nf_2000
492,0.2686890650426203,0.9363894469699842,nf_2000
493,0.2836260920810543,0.9405767561572788,nf_2000
494,0.29840211092682883,0.9445055174699633,nf_2000
495,0.30659633370276634,0.94669442654373,nf_2000
496,0.32146067257655314,0.9505677847404267,nf_2000
497,0.33659700587289104,0.9541407997293995,nf_2000
498,0.35170051225616245,0.9575349695720256,nf_2000
499,0.3667743180990404,0.9608863720970469,nf_2000
500,0.3820622804700189,0.9636944352915905,nf_2000
501,0.39743699968267315,0.9662595023633803,nf_2000
502,0.4057930122444386,0.9675357180000836,nf_2000
503,0.4214780239448883,0.9699812309794785,nf_2000
504,0.43723885018265835,0.9726328046709687,nf_2000
505,0.45276363528361674,0.974849901294975,nf_2000
506,0.468528369487228,0.9767588788353293,nf_2000
507,0.4844134690387498,0.9785930135698755,nf_2000
508,0.5002930974380939,0.9802181716388533,nf_2000
509,0.5164384675146432,0.9819842674590284,nf_2000
510,0.5164752023935509,0.9819900993659745,nf_2000
511,0.5322180519884512,0.9836317811712997,nf_2000
512,0.5480460952386907,0.9851140575200982,nf_2000
513,0.5642328897531572,0.9865866140239866,nf_2000
514,0.5805291073111788,0.9879085129317676,nf_2000
515,0.596543169735462,0.9889640880890105,nf_2000
516,0.6126197596132051,0.9899943916494869,nf_2000
517,0.6285079855374001,0.9910791263414601,nf_2000
518,0.64453689823188,0.9919033691898412,nf_2000
519,0.6605157889635919,0.9927140042553481,nf_2000
520,0.6764188651579834,0.9935528268710945,nf_2000
521,0.692406353414546,0.994210860371512,nf_2000
522,0.708410255127642,0.9948863895927677,nf_2000
523,0.7244125936544014,0.9954588884579758,nf_2000
524,0.7404422879420496,0.9960236114472557,nf_2000
525,0.7455195171630044,0.9961849608727643,nf_2000
526,0.761494499928875,0.9967603756914455,nf_2000
527,0.7775726529929547,0.9972162364177317,nf_2000
528,0.7936789434110915,0.9975700387724613,nf_2000
529,0.8097187984099269,0.9980404792661128,nf_2000
530,0.8257023787006482,0.9983087469856331,nf_2000
531,0.8417641183081946,0.9985235555581475,nf_2000
532,0.8577922494095064,0.9987723835878475,nf_2000
533,0.8738469546785386,0.9989823322379068,nf_2000
534,0.8898750857798502,0.999181589058565,nf_2000
535,0.8913358834113103,0.9992000567638942,nf_2000
536,0.9074132548822217,0.9993419664995825,nf_2000
537,0.9235125109618442,0.999437220979702,nf_2000
538,0.9395891008395874,0.9995480272116778,nf_2000
539,0.9556883569192098,0.9996802171024559,nf_2000
540,0.9718102792007116,0.9997395081564079,nf_2000
541,0.987950178125083,0.9998279587450902,nf_2000
542,1.0,1.0,nf_2000
543,1.0,1.0,nf_2000
544,0.0,0.0,nf_5000
545,1.2496417042925974e-05,0.021941679280735742,nf_5000
546,2.0306677694754706e-05,0.04396788415912575,nf_5000
547,3.358412080286355e-05,0.06602517891251504,nf_5000
548,4.68615639109724e-05,0.08825735421277522,nf_5000
549,7.185439799682435e-05,0.11059057160678304,nf_5000
550,9.450415388712768e-05,0.13296653757891486,nf_5000
