,tweet_time,tweet_language,count
327,10/13/2015,ru,5670
328,08/11/2014,en,5662
329,09/01/2014,en,5659
330,04/26/2015,ru,5645
331,12/26/2016,en,5640
332,08/28/2014,en,5640
333,02/11/2015,en,5629
334,10/16/2015,ru,5609
335,12/27/2014,ru,5606
336,06/19/2014,ru,5598
337,11/30/2016,en,5595
338,08/12/2014,en,5592
339,08/31/2014,en,5590
340,09/01/2015,ru,5587
341,01/18/2017,en,5581
342,08/08/2016,en,5565
343,09/04/2015,ru,5563
344,11/23/2016,en,5550
345,08/27/2014,en,5539
346,11/10/2015,ru,5530
347,10/31/2014,ru,5526
348,04/02/2015,ru,5526
349,11/10/2014,en,5525
350,09/15/2014,ru,5499
351,11/11/2015,ru,5491
352,12/02/2015,ru,5483
353,08/27/2015,ru,5482
354,11/28/2014,ru,5476
355,12/17/2015,ru,5471
356,12/21/2015,ru,5455
357,04/25/2015,ru,5455
358,08/11/2015,ru,5450
359,08/14/2014,en,5438
360,09/10/2015,ru,5431
361,01/25/2017,en,5424
362,04/11/2015,ru,5422
363,12/07/2016,en,5420
364,11/17/2014,ru,5419
365,07/08/2015,en,5418
366,09/03/2014,ru,5414
367,07/25/2014,ru,5412
368,06/21/2014,ru,5411
369,08/10/2015,ru,5410
370,11/10/2014,ru,5407
371,10/06/2015,ru,5393
372,07/31/2015,en,5381
373,08/23/2014,ru,5371
374,02/15/2017,en,5369
375,11/12/2015,ru,5362
376,08/04/2015,ru,5347
377,08/17/2015,ru,5346
378,07/16/2015,ru,5346
379,10/12/2015,ru,5331
380,12/09/2015,ru,5300
381,10/21/2015,ru,5290
382,10/20/2015,ru,5288
383,02/16/2015,en,5263
384,08/28/2015,ru,5253
385,10/05/2015,ru,5241
386,09/28/2014,ru,5241
387,08/07/2015,ru,5230
388,07/28/2014,ru,5228
389,06/17/2014,ru,5222
390,11/07/2014,ru,5204
391,08/14/2015,ru,5199
392,10/20/2014,ru,5192
393,12/23/2015,ru,5189
394,11/09/2015,ru,5185
395,07/23/2015,ru,5172
396,08/24/2015,ru,5165
397,11/28/2015,ru,5161
398,10/07/2015,ru,5157
399,10/14/2015,ru,5156
400,01/23/2017,en,5155
401,06/16/2015,en,5147
402,10/02/2015,ru,5137
403,08/05/2015,ru,5137
404,10/08/2015,ru,5136
405,07/31/2015,ru,5131
406,09/02/2015,ru,5121
407,01/11/2017,en,5120
408,10/27/2015,ru,5113
409,09/17/2015,ru,5110
410,01/09/2015,ru,5105
411,08/13/2015,ru,5101
412,09/18/2015,ru,5097
413,09/24/2015,ru,5096
414,09/16/2015,ru,5096
415,06/06/2015,en,5091
416,01/30/2017,en,5089
417,12/03/2015,ru,5079
418,07/27/2015,ru,5074
419,09/17/2014,en,5059
420,01/12/2015,en,5053
421,10/22/2015,ru,5046
422,12/15/2014,en,5033
423,10/15/2015,ru,5031
424,12/01/2015,ru,5029
425,09/16/2016,en,5023
426,07/30/2016,en,5014
427,12/08/2015,ru,5010
428,12/07/2015,ru,4999
429,11/30/2015,ru,4999
430,11/03/2015,ru,4994
431,01/18/2015,ru,4988
432,08/03/2015,ru,4974
433,12/31/2014,en,4966
434,05/03/2015,ru,4961
435,07/22/2015,ru,4949
436,08/31/2015,ru,4949
437,10/28/2015,ru,4940
438,02/27/2015,ru,4939
439,12/10/2015,ru,4931
440,04/17/2017,en,4922
441,09/22/2015,ru,4922
442,07/07/2015,en,4920
